,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
80,Kargopol',61.5071,38.9456,75.7,67,62,6.13,RU,1624691036
81,Bethel,41.3712,-73.414,68.05,89,100,4.14,US,1624690747
82,Broome,42.2506,-75.833,67.64,77,1,9.22,US,1624691036
83,Faya,18.3851,42.4509,82.92,14,100,11.23,SA,1624691037
84,Kaitangata,-46.2817,169.8464,53.92,84,77,1.14,NZ,1624691037
85,Mogadishu,2.0371,45.3438,80.28,72,91,17.76,SO,1624691038
86,Genhe,50.7833,121.5167,68.56,85,100,2.28,CN,1624690927
87,College,64.8569,-147.8028,66.58,52,22,1.66,US,1624690994
88,Tateyama,34.9833,139.8667,80.06,76,100,6.55,JP,1624691038
89,Mataura,-46.1927,168.8643,50.49,96,100,1.23,NZ,1624690741
90,Tieli,46.95,128.05,81.23,54,44,0.18,CN,1624691039
91,Eyl,7.9803,49.8164,87.82,42,98,28.81,SO,1624691040
92,Mar del Plata,-38.0023,-57.5575,49.12,45,100,3.0,AR,1624691040
93,Gravdal,68.1214,13.5031,48.22,73,100,8.66,NO,1624691041
94,Bambous Virieux,-20.3428,57.7575,71.22,79,53,16.02,MU,1624691021
95,Nogliki,51.8333,143.1667,47.34,80,100,10.69,RU,1624691041
96,Burns Lake,54.2331,-125.7533,62.47,84,43,3.51,CA,1624690812
97,Port-Gentil,-0.7193,8.7815,76.17,82,100,12.73,GA,1624691042
98,Ambon City,-3.6954,128.1814,78.94,89,40,3.44,ID,1624691042
99,Nanortalik,60.1432,-45.2371,45.1,89,100,8.75,GL,1624691043
100,Pekan,3.4836,103.3996,87.15,63,55,6.2,MY,1624691043
101,Kupang,-10.1667,123.5833,86.58,70,40,17.27,ID,1624691044
102,Krasnyy Oktyabr',56.1167,38.8833,84.24,56,15,4.85,RU,1624691044
103,Thompson,55.7435,-97.8558,49.51,64,11,7.27,CA,1624690812
104,Chui,-33.6971,-53.4616,49.69,79,100,6.58,UY,1624691045
105,Mitzic,0.7821,11.549,69.28,95,99,2.84,GA,1624691045
106,Castro,-24.7911,-50.0119,55.69,98,100,4.76,BR,1624690872
107,Svetlaya,46.5389,138.3297,58.14,97,90,9.26,RU,1624691046
108,Dikson,73.5069,80.5464,31.82,92,20,6.04,RU,1624691047
109,Xiangxiang,27.7333,112.5333,96.39,48,100,10.38,CN,1624691047
110,Riyadh,24.6877,46.7219,105.94,5,1,7.07,SA,1624691047
111,Busselton,-33.65,115.3333,65.05,58,0,15.03,AU,1624691048
112,Suntar,62.1444,117.6319,75.33,59,86,1.74,RU,1624691048
113,Kudahuvadhoo,2.6708,72.8944,82.63,74,56,11.3,MV,1624691048
114,Hobart,-42.8794,147.3294,52.92,66,75,5.01,AU,1624690685
115,Hilo,19.7297,-155.09,78.28,93,100,5.53,US,1624690500
116,Najrān,17.4924,44.1277,94.5,7,100,13.31,SA,1624691049
117,Abu Kamal,34.4506,40.9171,98.35,18,0,8.48,SY,1624691050
118,Norman Wells,65.282,-126.8329,64.22,64,100,1.12,CA,1624691050
119,East London,-33.0153,27.9116,64.89,39,6,22.26,ZA,1624691044
120,Lagoa,39.05,-27.9833,65.23,82,28,12.84,PT,1624691051
121,La Asuncion,11.0333,-63.8628,78.53,87,55,10.65,VE,1624691051
122,Fortuna,40.5982,-124.1573,65.19,75,90,0.0,US,1624691051
123,Clyde River,70.4692,-68.5914,34.03,100,90,11.5,CA,1624691052
124,Shimokizukuri,40.8061,140.3861,74.1,63,39,6.78,JP,1624691052
125,Nanma,36.1817,118.1583,90.14,53,99,10.04,CN,1624691053
126,Pevek,69.7008,170.3133,39.18,63,8,2.8,RU,1624691053
127,Wagar,16.1525,36.2032,91.22,42,100,12.44,SD,1624691054
128,Kalabo,-14.97,22.6814,63.9,41,0,6.38,ZM,1624691055
129,Kapaa,22.0752,-159.319,80.92,79,90,5.75,US,1624691055
130,Hermanus,-34.4187,19.2345,57.79,69,74,25.26,ZA,1624691055
131,Qaanaaq,77.484,-69.3632,36.48,81,32,2.24,GL,1624691056
132,Malanje,-9.5402,16.341,67.14,37,10,5.57,AO,1624691056
133,Yerbogachën,61.2767,108.0108,77.68,34,100,3.53,RU,1624691057
134,Yaan,7.3833,8.5667,74.03,94,100,5.1,NG,1624691057
135,Thinadhoo,0.5333,72.9333,82.98,72,75,10.36,MV,1624691058
136,Chāmpa,22.05,82.65,93.06,49,78,4.41,IN,1624691058
137,Cidreira,-30.1811,-50.2056,59.85,80,100,16.13,BR,1624691058
138,Deputatsky,69.3,139.9,77.67,28,100,9.08,RU,1624691059
139,Okhotsk,59.3833,143.3,61.18,62,10,9.35,RU,1624691000
140,Impfondo,1.6381,18.0667,82.56,56,1,1.68,CG,1624691059
141,Oriximiná,-1.7656,-55.8661,71.87,88,0,2.75,BR,1624691060
142,Sychëvka,55.8252,34.2736,75.16,69,29,5.3,RU,1624691060
143,Piranhas,-16.4269,-51.8222,65.62,46,3,4.21,BR,1624690874
144,Rio Grande,-32.035,-52.0986,55.2,84,100,12.39,BR,1624691061
145,Mayumba,-3.432,10.6554,73.31,90,100,4.5,GA,1624691061
146,Hithadhoo,-0.6,73.0833,82.31,72,100,10.02,MV,1624691062
147,Pisco,-13.7,-76.2167,59.02,86,0,1.52,PE,1624691062
148,Santa Cruz del Norte,23.1539,-81.9236,74.01,80,100,12.03,CU,1624691063
149,Meulaboh,4.1363,96.1285,85.33,65,86,6.04,ID,1624691063
150,Kahului,20.8947,-156.47,77.85,79,40,11.5,US,1624691063
151,Puerto Ayora,-0.7393,-90.3518,71.55,92,65,1.99,EC,1624691040
152,Loukhi,66.0764,33.0381,52.3,95,100,5.14,RU,1624691064
153,Havelock,34.8791,-76.9013,76.95,95,77,5.95,US,1624690807
154,Lubango,-14.9172,13.4925,61.95,33,14,3.04,AO,1624691065
155,Araouane,18.9048,-3.5265,88.86,35,97,7.34,ML,1624691065
156,Fairfield,41.2668,-73.3162,68.22,91,100,4.7,US,1624690813
157,Constitución,-35.3333,-72.4167,44.65,73,1,9.26,CL,1624691066
158,Shuangyang,43.5242,125.6736,64.04,96,100,7.09,CN,1624691066
159,Shubarkuduk,49.1447,56.4872,91.33,29,0,12.08,KZ,1624691066
160,Hermon,44.8101,-68.9134,64.33,93,90,9.22,US,1624691067
161,Megion,61.0296,76.1136,66.22,37,65,9.64,RU,1624691067
162,St. George's,12.0564,-61.7485,78.48,89,75,11.5,GD,1624691068
163,Aykhal,66.0,111.5,74.46,39,100,10.0,RU,1624691068
164,Tilichiki,60.4667,166.1,53.69,75,100,0.25,RU,1624691069
165,Nakhon Sawan,15.7,100.0833,98.71,44,99,9.46,TH,1624691069
166,Ilulissat,69.2167,-51.1,44.62,65,75,11.5,GL,1624691070
167,Krasnyy Chikoy,50.3643,108.7512,83.62,37,0,1.95,RU,1624691070
168,Saint-Augustin,51.226,-58.6502,51.84,82,97,8.84,CA,1624691045
169,Lüderitz,-26.6481,15.1594,57.51,64,100,8.63,NA,1624691071
170,Yulara,-25.2406,130.9889,58.96,28,0,12.3,AU,1624691071
171,Aklavik,68.2191,-135.0107,41.4,80,99,16.58,CA,1624691027
172,Tiznit Province,29.5833,-9.5,67.59,55,0,1.54,MA,1624690951
173,Ostrovnoy,68.0531,39.5131,45.72,92,100,11.52,RU,1624691072
174,Arraial do Cabo,-22.9661,-42.0278,70.38,86,9,18.81,BR,1624691073
175,Trn,44.8597,17.2364,71.69,73,40,4.61,BA,1624690898
176,Mahibadhoo,3.7833,72.9667,83.01,74,92,12.64,MV,1624691073
177,Adrar,20.5022,-10.0711,81.82,49,80,10.98,MR,1624691074
178,Ust'-Karsk,52.7011,118.8077,80.89,49,98,4.68,RU,1624691074
179,Imbituba,-28.24,-48.6703,62.82,88,0,8.34,BR,1624691075
180,Mehamn,71.0357,27.8492,47.8,72,28,22.01,NO,1624691075
181,Lázaro Cárdenas,17.9583,-102.2,77.88,71,100,13.11,MX,1624691076
182,Kumul,42.8,93.45,94.24,12,1,4.47,CN,1624691076
183,Denpasar,-8.65,115.2167,85.66,79,20,17.27,ID,1624690875
184,Khatanga,71.9667,102.5,51.73,43,99,7.83,RU,1624691077
185,Carnarvon,-24.8667,113.6333,70.29,27,99,9.37,AU,1624691077
186,Kahama,-3.8333,32.6,73.18,40,98,6.64,TZ,1624691078
187,Kendari,-3.945,122.4989,81.52,82,96,2.68,ID,1624691078
188,Florence,43.7667,11.25,76.05,65,0,2.3,IT,1624690842
189,Murgab,37.4966,61.9714,91.94,11,0,13.53,TM,1624691079
190,Codrington,-38.2667,141.9667,52.34,72,100,14.72,AU,1624691011
191,Chunhuhub,19.55,-88.6833,71.74,99,63,2.1,MX,1624691079
192,Husavik,66.0449,-17.3389,53.31,61,0,12.86,IS,1624691053
193,Mount Isa,-20.7333,139.5,65.97,39,0,11.5,AU,1624690901
194,Barra de Tecoanapa,16.5167,-98.75,76.89,65,100,5.88,MX,1624691080
195,Long Xuyen,10.3833,105.4167,89.55,60,100,8.81,VN,1624691081
196,Eydhafushi,5.1033,73.0708,82.72,75,67,13.47,MV,1624691081
197,Fairbanks,64.8378,-147.7164,66.92,54,24,1.01,US,1624690801
198,Saint-Tite,46.7334,-72.5658,63.45,90,100,3.85,CA,1624691082
199,Snoghøj,55.5225,9.7213,64.74,75,97,4.05,DK,1624691082
200,Katsuura,35.1333,140.3,80.15,81,100,7.36,JP,1624691083
201,Japura,-0.3167,102.35,87.96,62,96,2.86,ID,1624690876
202,Okakarara,-20.5833,17.4333,59.38,30,0,4.16,NA,1624691084
203,Shimoda,34.6667,138.95,79.16,74,100,6.08,JP,1624691084
204,Nome,64.5011,-165.4064,59.07,64,75,17.27,US,1624691085
205,Tezu,27.9167,96.1667,87.21,78,57,2.3,IN,1624691085
206,Lensk,60.7253,114.9278,81.73,39,65,2.93,RU,1624691086
207,Klaksvík,62.2266,-6.589,49.12,80,16,14.94,FO,1624691086
208,Flinders,-34.5833,150.8552,59.2,63,0,15.43,AU,1624691086
209,Temir,49.1414,57.13,90.46,30,0,12.15,KZ,1624691087
210,Muhos,64.808,25.9931,65.89,53,10,7.36,FI,1624691087
211,Ritchie,-29.038,24.6028,47.41,71,0,5.77,ZA,1624691088
212,Tungor,53.3808,142.9564,54.09,67,100,10.13,RU,1624691088
213,Beringovskiy,63.05,179.3167,42.17,68,37,9.24,RU,1624691089
214,Airai,-8.9266,125.4092,69.24,69,88,4.38,TL,1624691078
215,Bonavista,48.6499,-53.1147,54.12,79,8,12.33,CA,1624691089
216,Lompoc,34.6391,-120.4579,59.77,77,90,9.22,US,1624691090
217,Udachny,66.4167,112.4,71.11,51,100,10.78,RU,1624691090
218,Mumbai,19.0144,72.8479,87.78,74,40,12.66,IN,1624690934
219,Cherskiy,68.75,161.3,71.1,30,100,8.28,RU,1624691091
220,Tecolotlán,20.2167,-104.05,64.54,74,100,2.91,MX,1624691092
221,Takoradze,4.8845,-1.7554,75.51,89,100,4.38,GH,1624691092
222,Talnakh,69.4865,88.3972,49.21,57,98,20.98,RU,1624691043
223,Kruisfontein,-34.0033,24.7314,54.88,59,39,7.18,ZA,1624691093
224,Faanui,-16.4833,-151.75,81.27,70,8,15.26,PF,1624691093
225,San Cristobal,7.7669,-72.225,63.43,93,57,1.59,VE,1624691094
226,Kouroussa,10.65,-9.8833,71.17,90,100,1.63,GN,1624691094
227,Kununurra,-15.7667,128.7333,82.38,32,3,11.5,AU,1624690919
228,Esim,4.8699,-2.2405,76.01,88,100,3.58,GH,1624691095
229,Itapuranga,-15.5622,-49.9486,62.65,55,0,5.06,BR,1624691095
230,Wangqing,43.3218,129.7634,76.6,58,100,9.91,CN,1624691096
231,Āsosa,10.0667,34.5333,71.38,71,100,3.11,ET,1624691096
232,Roding,49.1964,12.5186,67.05,82,8,1.14,DE,1624691096
233,Buala,-8.145,159.5921,81.1,80,87,6.85,SB,1624691097
234,Thai Nguyen,21.5928,105.8442,92.98,53,91,5.84,VN,1624691097
235,Berlevåg,70.8578,29.0864,47.59,73,71,21.61,NO,1624691098
236,Caravelas,-17.7125,-39.2481,71.87,76,98,7.18,BR,1624691098
237,Goderich,43.7501,-81.7165,70.21,98,79,17.69,CA,1624690877
